,company_name,budget,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count,country,belongs_to_collection,country_of_company,genre,year
0,Lucasfilm Ltd.,11000000,en,106.348,1977-05-25,775398007,121,8.204,20817,US,Star Wars Collection,US,"Adventure,Action,Science Fiction",1977
1,Pixar,94000000,en,125.133,2003-05-30,940335536,100,7.8,19388,US,Finding Nemo Collection,US,"Animation,Family",2003
2,Paramount Pictures,55000000,en,105.101,1994-06-23,677387716,142,8.5,27752,US,False,US,"Comedy,Drama,Romance",1994
3,DreamWorks Pictures,15000000,en,44.255,1999-09-15,356296601,122,8.0,12128,US,False,US,Drama,1999
4,Mercury Productions,839727,en,37.402,1941-04-17,23218000,119,8.0,5566,US,False,US,"Mystery,Drama",1941
5,Gaumont,90000000,fr,74.236,1997-05-02,263920180,126,7.555,10824,FR,False,FR,"Science Fiction,Action,Adventure",1997
6,UFA,5300000,de,38.343,1927-02-06,1350322,148,8.114,2792,DE,False,DE,"Drama,Science Fiction",1927
7,Walt Disney Pictures,140000000,en,141.172,2003-07-09,655011224,143,7.8,20809,US,Pirates of the Caribbean Collection,US,"Adventure,Fantasy,Action",2003
8,Miramax,30000000,en,93.269,2003-10-10,180906076,111,8.0,17552,US,Kill Bill Collection,US,"Action,Crime",2003
9,Revolution Films,1000000,en,39.814,2004-07-16,1574623,69,5.6,518,US,False,GB,"Drama,Music,Romance",2004
10,United Artists,31500000,en,57.025,1979-05-19,150000000,147,8.273,8313,US,False,US,"Drama,War",1979
11,Warner Bros. Pictures,14400000,en,37.771,1992-08-07,159157447,130,7.9,4457,US,False,US,Western,1992
12,Gracie Films,75000000,en,68.566,2007-07-25,527068851,87,7.0,8031,US,False,US,"Animation,Comedy,Family",2007
13,Focus Features,20000000,en,90.542,2004-03-19,72258126,108,8.1,15126,US,False,US,"Science Fiction,Drama,Romance",2004
14,Walt Disney Pictures,200000000,en,100.407,2006-07-06,1065700000,151,7.365,16092,US,Pirates of the Caribbean Collection,US,"Adventure,Fantasy,Action",2006
15,Stanley Kubrick Productions,12000000,en,60.448,1968-04-02,71923560,149,8.069,11638,US,The Space Odyssey Series,GB,"Science Fiction,Mystery,Adventure",1968
16,Universal Pictures,29000000,en,44.782,1995-12-29,168841459,129,7.6,8414,US,False,US,"Science Fiction,Thriller,Mystery",1995
17,Mikona Productions,41000000,en,37.084,2002-11-08,242875078,111,7.137,7315,US,False,DE,"Drama,Music",2002
18,Lakeshore Entertainment,30000000,en,36.806,2004-12-15,216763646,132,7.954,9646,US,False,US,Drama,2004
19,StudioCanal,5000000,en,32.593,2000-09-28,109280263,110,7.593,3849,GB,False,FR,"Drama,Comedy,Music",2000
20,New Line Cinema,20000000,en,44.671,1998-07-01,23900000,119,8.3,11667,US,False,US,Drama,1998
21,Paramount Pictures,132000000,en,61.0,2005-06-13,603873119,117,6.5,8438,US,False,US,"Adventure,Thriller,Science Fiction",2005
22,Warner Bros. Pictures,70000000,en,35.264,1996-12-13,101371017,106,6.409,5444,US,False,US,"Comedy,Fantasy,Science Fiction",1996
23,Castle Rock Entertainment,2500000,en,44.662,1995-01-27,5987386,101,8.0,4187,US,Before... Collection,US,"Drama,Romance",1995
24,Newmarket Films,9000000,en,58.202,2000-10-11,40047236,113,8.18,15005,US,False,US,"Mystery,Thriller",2000
25,Shaw Brothers,28000000,en,62.4,1982-06-25,41722424,118,7.939,13882,US,Blade Runner Collection,HK,"Science Fiction,Drama,Thriller",1982
26,Paramount Pictures,18000000,en,214.115,1981-06-12,389925971,115,7.9,12543,US,Indiana Jones Collection,US,"Adventure,Action",1981
27,Paramount Pictures,28000000,en,44.444,1984-05-23,333000000,118,7.3,9332,US,Indiana Jones Collection,US,"Adventure,Action",1984
28,Great American Films Limited Partnership,6000000,en,42.774,1987-08-21,214577242,100,7.33,6151,US,Dirty Dancing Collection,US,"Drama,Music,Romance",1987
29,Paramount Pictures,48000000,en,70.484,1989-05-24,474171806,127,7.8,10211,US,Indiana Jones Collection,US,"Adventure,Action",1989
30,Touchstone Pictures,140000000,en,55.575,1998-07-01,553799566,151,6.841,7985,US,False,US,"Action,Thriller,Science Fiction,Adventure",1998
31,Universal Pictures,103000000,en,214.268,2000-05-04,465361176,155,8.218,19262,US,Gladiator Collection,US,"Action,Drama,Adventure",2000
32,Gaumont,16000000,fr,86.86,1994-09-14,45284974,111,8.306,14941,FR,False,FR,"Crime,Drama,Action",1994
33,Italo/Judeo Productions,1900000,en,65.46,1976-02-09,28579636,114,8.138,12381,US,False,US,"Crime,Drama",1976
34,Universal Pictures,19000000,en,83.872,1985-07-03,381109762,116,8.3,20156,US,Back to the Future Collection,US,"Adventure,Comedy,Science Fiction",1985
35,20th Century Fox,15000000,en,93.579,1987-06-12,98267558,107,7.5,8183,US,Predator Collection,US,"Science Fiction,Action,Adventure,Thriller",1987
36,SKA Films,10000000,en,54.469,2000-09-01,83600000,103,7.811,9120,GB,False,GB,"Crime,Comedy",2000
37,France 3 Cinéma,0,fr,34.922,1993-09-08,1527572,98,7.659,1702,FR,Three Colors Collection,FR,Drama,1993
38,Universal Pictures,25000000,en,91.438,1983-12-09,66023329,169,8.2,11957,US,False,US,"Action,Crime,Drama",1983
39,Touchstone Pictures,14000000,en,77.91,1990-03-23,463406268,120,7.467,8342,US,False,US,"Romance,Comedy",1990
40,PolyGram Filmed Entertainment,15000000,en,37.23,1998-03-06,47010480,117,7.8,11272,US,False,US,"Comedy,Crime",1998
41,Warner Bros. Pictures,150000000,en,86.038,2005-07-13,475000000,115,7.048,15269,US,False,US,"Adventure,Comedy,Family,Fantasy",2005
42,New Line Cinema,93000000,en,186.368,2001-12-18,871368364,179,8.418,25502,US,The Lord of the Rings Collection,US,"Adventure,Fantasy,Action",2001
43,New Line Cinema,79000000,en,155.446,2002-12-18,926287400,179,8.4,22141,US,The Lord of the Rings Collection,US,"Adventure,Fantasy,Action",2002
44,New Line Cinema,94000000,en,173.857,2003-12-17,1118888979,201,8.483,24545,US,The Lord of the Rings Collection,US,"Adventure,Fantasy,Action",2003
45,Studio Ghibli,23500000,ja,61.357,1997-07-12,169000000,134,8.336,8119,JP,False,JP,"Adventure,Fantasy,Animation",1997
46,Studio Ghibli,19000000,ja,106.643,2001-07-20,274925095,125,8.537,16757,JP,False,JP,"Animation,Family,Fantasy",2001
47,Columbia Pictures,14600000,en,49.034,1993-02-11,71100000,101,7.611,8081,US,False,US,"Romance,Fantasy,Drama,Comedy",1993
48,Flower Films,4500000,en,59.543,2001-01-19,7500000,114,7.8,12533,US,Darko Collection,US,"Fantasy,Drama,Mystery",2001
49,Focus Features,14000000,en,45.16,2005-10-22,178043761,134,7.8,7023,US,False,US,"Drama,Romance",2005
50,Universal Pictures,1448864,en,39.546,1930-04-29,3270000,133,7.764,809,US,All Quiet On The Western Front Collection,US,"Drama,War",1930
51,Columbia Pictures Film Production Asia,17000000,zh,38.268,2000-07-06,213978518,120,7.4,3230,HK,"Crouching Tiger, Hidden Dragon Collection",HK,"Adventure,Drama,Action,Romance",2000
52,MBS,5700000,ja,46.777,1988-06-10,49000000,124,7.947,4283,JP,False,JP,"Animation,Science Fiction,Action",1988
53,Paramount Pictures,45000000,en,35.756,1979-12-07,139346243,131,6.5,1742,US,Star Trek: The Original Series Collection,US,"Science Fiction,Adventure,Mystery",1979
54,American Zoetrope,4000000,en,45.848,2003-09-18,119723856,102,7.387,7390,US,False,US,"Drama,Romance",2003
55,DC,185000000,en,162.183,2008-07-16,1004558444,152,8.519,33291,US,The Dark Knight Collection,US,"Drama,Action,Crime,Thriller",2008
56,Warner Bros. Pictures,85000000,en,55.058,2001-12-07,450717150,116,7.446,11681,US,Ocean's Collection,US,"Thriller,Crime",2001
57,20th Century Fox,20000000,en,59.261,1990-12-07,86024005,105,7.7,12994,US,False,US,"Fantasy,Drama,Romance",1990
58,Warner Bros. Pictures,110000000,en,35.721,2004-12-09,362744280,125,6.566,7303,US,Ocean's Collection,US,"Thriller,Crime",2004
59,Paramount Pictures,2500000,en,31.862,1961-10-06,9500000,115,7.655,4184,US,False,US,"Comedy,Romance,Drama",1961
60,Universal Pictures,40000000,en,44.958,1989-11-22,332000000,108,7.8,12880,US,Back to the Future Collection,US,"Adventure,Comedy,Science Fiction",1989
61,Davis Entertainment,35000000,en,42.883,1990-11-21,57120318,108,6.283,3354,US,Predator Collection,US,"Science Fiction,Action,Thriller",1990
62,DNA Films,8000000,en,107.569,2002-10-31,84661434,113,7.2,6870,GB,28 Days/Weeks Later Collection,GB,"Horror,Thriller,Science Fiction",2002
63,Twisted Pictures,1200000,en,65.405,2004-10-01,104004218,103,7.417,9300,US,Saw Collection,US,"Horror,Mystery,Crime",2004
64,Digital Image Associates,102000000,en,33.6,2002-06-20,358372926,145,7.35,8776,US,False,US,"Science Fiction,Action,Thriller",2002
65,Miramax,12000000,en,32.253,1997-12-25,74727492,154,7.357,6384,US,False,US,"Crime,Drama,Thriller",1997
66,Warner Bros. Pictures,2200000,en,44.072,1971-12-19,27033812,137,8.19,12954,US,False,US,"Science Fiction,Crime",1971
67,Dimension Films,40000000,en,32.745,2005-04-01,158733820,124,7.459,8186,US,Sin City Collection,US,"Thriller,Action,Crime",2005
68,Residaco,65000000,en,37.701,2014-08-20,39407616,102,6.4,3853,US,Sin City Collection,US,"Crime,Action,Thriller",2014
69,Victoires Productions,10000000,fr,60.172,2001-04-25,173921954,122,7.915,11590,FR,False,FR,"Comedy,Romance",2001
70,Universal Pictures,40000000,en,38.25,1990-05-25,244527583,119,7.481,10609,US,Back to the Future Collection,US,"Adventure,Comedy,Science Fiction",1990
71,Icon Entertainment International,72000000,en,65.097,1995-05-24,213200000,177,7.942,10222,US,False,GB,"Action,Drama,History,War",1995
72,A Steven Haft Production,16400000,en,57.297,1989-06-02,235900000,128,8.3,11412,US,False,US,Drama,1989
73,Twisted Pictures,10000000,en,40.594,2006-10-26,164874275,108,6.405,4563,US,Saw Collection,US,"Horror,Thriller,Crime",2006
74,Got Films,4000000,en,41.142,2005-10-28,152925093,93,6.597,5421,US,Saw Collection,US,Horror,2005
75,Paramount Pictures,185000000,en,54.635,2008-05-21,786636033,122,6.0,8365,US,Indiana Jones Collection,US,"Adventure,Action",2008
76,Hemdale,6400000,en,84.73,1984-10-26,78371200,108,7.662,13339,US,The Terminator Collection,GB,"Action,Thriller,Science Fiction",1984
77,Columbia Pictures,8000000,en,34.606,1986-08-08,52300000,89,7.851,5925,US,False,US,"Crime,Drama",1986
78,Paramount Pictures,6000000,en,163.489,1972-03-14,245066411,175,8.689,20937,US,The Godfather Collection,US,"Drama,Crime",1972
79,The Mirisch Company,2883848,en,31.429,1959-03-19,25000000,122,8.095,3503,US,False,US,"Comedy,Romance,Crime",1959
80,Paramount Pictures,13000000,en,110.816,1974-12-20,102600000,202,8.571,12631,US,The Godfather Collection,US,"Drama,Crime",1974
81,Paramount Pictures,54000000,en,69.649,1990-12-25,136766062,162,7.4,6260,US,The Godfather Collection,US,"Crime,Drama,Thriller",1990
82,Paramount Pictures,22000000,en,62.471,1990-07-13,505000000,127,7.2,5587,US,False,US,"Fantasy,Drama,Thriller,Mystery,Romance",1990
83,Wolper Pictures,3000000,en,42.609,1971-06-29,4000000,99,7.5,3629,US,False,US,"Family,Fantasy,Comedy",1971
84,EON Productions,7000000,en,33.865,1973-06-27,126400000,121,6.5,2057,GB,James Bond Collection,GB,"Adventure,Action,Thriller",1973
85,Universal Pictures,207000000,en,55.408,2005-12-12,562363449,187,6.9,7910,US,False,US,"Adventure,Drama,Action",2005
86,Gaumont-British Picture Corporation,0,en,35.185,1935-06-06,0,86,7.343,951,GB,False,GB,"Mystery,Thriller",1935
87,Warner Bros. Pictures,35000000,en,45.311,1989-06-21,411348924,126,7.232,7919,US,Batman Collection,US,"Fantasy,Action,Crime",1989
88,Warner Bros. Pictures,150000000,en,65.404,2005-06-10,374218673,140,7.711,21145,US,The Dark Knight Collection,US,"Action,Crime,Drama",2005
89,PolyGram Filmed Entertainment,7000000,en,39.693,1996-03-08,60611975,98,7.86,8147,US,False,US,"Crime,Drama,Thriller",1996
90,Screen Gems,22000000,en,44.93,2003-09-19,95708457,122,6.832,6151,US,Underworld Collection,US,"Fantasy,Action,Thriller",2003
91,Castle Rock Entertainment,25000000,en,186.49,1994-09-23,28341469,142,8.709,27602,US,False,US,"Drama,Crime",1994
92,Carolco Pictures,102000000,en,79.373,1991-07-03,520000000,137,8.1,13038,US,The Terminator Collection,US,"Action,Thriller,Science Fiction",1991
93,Jerry Bruckheimer Films,300000000,en,100.543,2007-05-19,961000000,169,7.3,14450,US,Pirates of the Caribbean Collection,US,"Adventure,Fantasy,Action",2007
94,Warner Bros. Pictures,878000,en,40.579,1943-01-15,10462500,102,8.158,5504,US,False,US,"Drama,Romance",1943
95,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,200000000,en,52.894,2003-07-02,435000000,109,6.2,6684,US,The Terminator Collection,DE,"Action,Thriller,Science Fiction",2003
96,Universal Pictures,90000000,en,86.019,1998-11-12,142940100,178,7.349,5237,US,False,US,"Fantasy,Drama,Romance",1998
97,Pit Bull Productions,80000000,en,73.429,2003-05-23,484600000,101,6.716,10767,US,Almighty Collection,US,"Fantasy,Comedy",2003
98,Embassy International Pictures,30000000,en,52.234,1984-05-23,5500000,229,8.419,5466,US,False,US,"Drama,Crime",1984
99,Morgan Creek Entertainment,12500000,en,33.617,1993-09-09,12600000,118,7.5,2746,US,False,US,"Action,Crime,Romance",1993
100,Warner Bros. Pictures,25000000,en,34.296,2003-10-07,156800000,138,7.74,6734,US,False,US,"Thriller,Crime,Drama,Mystery",2003
101,Universal Pictures,63000000,en,48.114,1993-06-11,920100000,127,7.952,16440,US,Jurassic Park Collection,US,"Adventure,Science Fiction",1993
102,Paramount Pictures,5000000,it,63.613,1968-12-21,5380118,166,8.3,4402,IT,False,US,"Drama,Western",1968
103,Warner Bros. Pictures,65000000,en,70.116,1999-07-16,162100000,159,7.484,6274,GB,False,US,"Drama,Thriller,Mystery",1999
104,TOHO,2000000,ja,49.769,1954-04-26,105000000,207,8.5,3768,JP,False,JP,"Action,Drama",1954
105,20th Century Fox,11000000,en,109.361,1979-05-25,104931801,117,8.2,14975,US,Alien Collection,US,"Horror,Science Fiction",1979
106,Fox 2000 Pictures,35000000,en,70.87,2006-06-29,326706115,109,7.4,12121,US,The Devil Wears Prada Collection,US,"Drama,Comedy",2006
107,Warner Bros. Pictures,80000000,en,37.801,1992-06-19,280000000,126,6.9,6573,US,Batman Collection,US,"Action,Fantasy",1992
108,New Line Cinema,1800000,en,56.327,1984-10-31,57004513,91,7.342,5181,US,A Nightmare on Elm Street Collection,US,Horror,1984
109,United Artists,25000000,en,31.729,1988-12-12,354825435,134,7.8,6403,US,False,US,Drama,1988
110,40 Acres and a Mule Filmworks,45000000,en,49.188,2006-03-17,186003591,129,7.4,5821,US,Inside Man Collection,US,"Crime,Drama,Thriller",2006
111,United Artists,397751,en,62.663,1957-04-10,4360000,97,8.548,8822,US,False,US,Drama,1957
112,Jolly Film,200000,it,34.566,1964-09-12,14500000,99,7.8,4285,IT,False,IT,Western,1964
113,Super Cool ManChu,30000000,en,74.881,2004-04-16,152159461,136,7.875,13987,US,Kill Bill Collection,US,"Action,Crime,Thriller",2004
114,Studio Babelsberg,70000000,en,35.166,2004-08-12,177427090,100,5.9,4485,US,AVP Collection,DE,"Adventure,Science Fiction,Action,Horror",2004
115,Carolco Pictures,49000000,en,38.567,1992-03-20,352927224,128,6.928,3924,US,Basic Instinct Collection,US,"Thriller,Mystery",1992
116,Walt Disney Productions,1488423,en,82.527,1938-01-14,184925486,83,7.1,7459,US,False,US,"Fantasy,Animation,Family",1938
117,Walt Disney Pictures,180000000,en,462.013,2005-12-07,745013115,143,7.135,10735,GB,The Chronicles of Narnia Collection,US,"Adventure,Family,Fantasy",2005
118,Warner Bros. Pictures,100000000,en,35.889,1995-06-16,336529144,121,5.4,5201,US,Batman Collection,US,"Action,Crime,Fantasy",1995
119,Warner Bros. Pictures,125000000,en,39.7,1997-06-20,238207122,125,4.4,5040,US,Batman Collection,US,"Action,Science Fiction,Adventure",1997
120,Canal+ Polska,35000000,en,61.076,2002-09-17,120098945,150,8.379,9292,FR,False,PL,"Drama,War",2002
121,Amblin Entertainment,22000000,en,111.67,1993-12-15,321365567,195,8.567,16077,US,False,US,"Drama,History,War",1993
122,20th Century Fox Animation,59000000,en,107.44,2002-03-10,383257136,81,7.4,13381,US,Ice Age Collection,US,"Animation,Comedy,Family,Adventure",2002
123,Paramount Pictures,2479000,en,32.308,1958-05-28,7808900,128,8.162,5788,US,False,US,"Mystery,Romance,Thriller",1958
124,United Artists,1200000,it,208.201,1966-12-22,38900000,161,8.5,8756,IT,False,US,Western,1966
125,Walt Disney Productions,4650000,en,42.865,1964-12-17,103100000,139,7.563,4700,US,Mary Poppins Collection,US,"Comedy,Family,Fantasy",1964
126,20th Century Fox,125000000,en,47.393,2004-05-26,552639571,124,6.537,8177,US,False,US,"Action,Adventure,Science Fiction,Thriller",2004
127,Dune Entertainment,40000000,en,60.38,2007-12-25,130290885,94,5.183,2960,US,AVP Collection,US,"Action,Science Fiction,Thriller,Horror",2007
128,Universal Pictures,58000000,en,48.309,2001-12-14,316800000,135,7.857,10268,US,False,US,"Drama,Romance",2001
129,20th Century Fox,14500000,en,37.788,1996-11-01,147298761,120,6.793,5019,US,False,US,"Drama,Romance",1996
130,PolyGram Filmed Entertainment,9500000,en,43.929,1990-08-17,14569027,125,7.025,1651,US,False,US,"Crime,Thriller,Romance",1990
131,Lawrence Bender Productions,10000000,en,81.442,1997-12-05,225900000,127,8.161,12516,US,False,US,Drama,1997
132,Castle Rock Entertainment,60000000,en,118.594,1999-12-10,286801374,189,8.5,17714,US,False,US,"Fantasy,Drama,Crime",1999
133,Live Entertainment,1200000,en,46.201,1992-09-02,2859750,99,8.1,14396,US,False,US,"Crime,Thriller",1992
134,Working Title Films,40000000,en,49.695,2003-09-07,249600000,135,7.112,6842,GB,False,GB,"Comedy,Romance,Drama",2003
135,Working Title Films,42000000,en,55.167,1999-05-21,363889678,124,7.3,6149,GB,False,GB,"Romance,Comedy",1999
136,Fantasy Films,3000000,en,50.059,1975-11-19,108981275,133,8.414,10555,US,False,US,Drama,1975
137,Universal Pictures,50000000,en,42.631,1995-11-22,116112375,179,8.003,5891,US,False,US,"Crime,Drama",1995
138,Aardman,17300,en,35.752,1990-05-18,40118,24,7.47,897,GB,Wallace & Gromit Collection,GB,"Family,Animation,Comedy",1990
139,Aardman,30000000,en,57.359,2005-09-15,192610372,85,7.111,2794,US,False,GB,"Adventure,Animation,Comedy,Family",2005
140,The Halcyon Company,200000000,en,51.951,2009-05-20,371353001,115,6.061,6508,US,The Terminator Collection,US,"Action,Science Fiction,Thriller",2009
141,Shamley Productions,806947,en,45.561,1960-06-22,32000000,109,8.4,10165,US,Psycho Collection,US,"Horror,Thriller,Mystery",1960
142,20th Century Fox,23000000,en,33.863,1998-07-15,369900000,120,6.604,4963,US,False,US,"Romance,Comedy",1998
143,Fox 2000 Pictures,63000000,en,121.325,1999-10-15,100853753,139,8.438,29744,US,False,US,Drama,1999
144,Marvel Enterprises,139000000,en,127.883,2002-05-01,821708551,121,7.303,19268,US,Spider-Man Collection,US,"Action,Science Fiction",2002
145,Marvel Enterprises,200000000,en,41.338,2004-06-25,788976453,127,7.288,15245,US,Spider-Man Collection,US,"Action,Adventure,Science Fiction",2004
146,Laura Ziskin Productions,258000000,en,115.986,2007-05-01,894983373,139,6.434,14229,US,Spider-Man Collection,US,"Action,Adventure,Science Fiction",2007
147,Village Roadshow Pictures,100000000,en,79.638,2005-02-08,230900000,121,7.1,7274,US,Constantine Collection,US,"Fantasy,Action,Horror",2005
148,Gordon Company,28000000,en,57.484,1988-07-15,140767956,132,7.797,11292,US,Die Hard Collection,US,"Action,Thriller",1988
149,TriStar Pictures,105000000,en,31.708,1997-11-07,121214377,129,7.079,4958,US,Starship Troopers Collection,US,"Adventure,Action,Thriller,Science Fiction",1997
150,Alphaville Films,80000000,en,70.294,1999-04-16,415885488,124,6.938,9149,US,The Mummy Collection,US,"Adventure,Action,Fantasy",1999
151,DreamWorks Pictures,48000000,en,46.174,2002-10-18,249348933,115,6.671,6207,US,The Ring Collection,US,"Horror,Mystery",2002
152,Paramount Pictures,1000000,en,34.706,1954-08-01,37042336,112,8.351,6551,US,False,US,"Thriller,Mystery",1954
153,Imagine Entertainment,52000000,en,34.468,1995-06-30,355237933,140,7.45,5441,US,False,US,"Drama,History",1995
154,The Zanuck/Brown Company,7000000,en,70.697,1975-06-20,470653000,124,7.7,10567,US,Jaws Collection,US,"Horror,Thriller,Adventure",1975
155,Tig Productions,22000000,en,38.784,1990-03-30,424208848,181,7.844,4269,GB,False,US,"Adventure,Drama,Western",1990
156,Pixar,115000000,en,138.426,2001-11-01,579700000,92,7.843,18577,US,"Monsters, Inc. Collection",US,"Animation,Comedy,Family",2001
157,Columbia Pictures,70000000,en,32.133,2003-12-25,123200000,125,7.759,7242,US,False,US,"Adventure,Fantasy,Drama",2003
158,Silent Hill DCP Inc.,50000000,en,37.127,2006-04-21,100605135,125,6.572,4334,CA,Silent Hill Collection,CA,"Horror,Mystery",2006
159,Imagine Entertainment,125000000,en,48.196,2006-05-17,760006945,149,6.723,9370,US,Robert Langdon Collection,US,"Thriller,Mystery",2006
160,DreamWorks Pictures,60000000,en,32.723,2004-06-17,219417255,128,7.3,7957,US,False,US,"Comedy,Drama",2004
161,Paramount Pictures,200000000,en,186.079,1997-11-18,2264162353,194,7.907,25601,US,False,US,"Drama,Romance",1997
162,O2 Filmes,3300000,pt,42.008,2002-08-30,30641770,129,8.426,7470,BR,False,BR,"Drama,Crime",2002
163,Natant,30000000,en,71.36,1987-06-26,46357676,117,8.1,10587,US,False,US,"Drama,War",1987
164,Universal Pictures,10500000,en,50.956,1982-06-11,792965500,115,7.514,11259,US,False,US,"Science Fiction,Adventure,Family,Fantasy",1982
165,20th Century Fox,75000000,en,58.789,1996-06-25,817400891,145,6.892,9634,US,Independence Day Collection,US,"Action,Adventure,Science Fiction",1996
166,Village Roadshow Pictures,63000000,en,133.395,1999-03-31,463517383,136,8.221,25947,US,The Matrix Collection,US,"Action,Science Fiction",1999
167,Village Roadshow Pictures,150000000,en,60.271,2003-05-15,738599701,138,7.056,11067,US,The Matrix Collection,US,"Adventure,Action,Thriller,Science Fiction",2003
168,Village Roadshow Pictures,150000000,en,45.356,2003-11-05,424988211,129,6.7,9980,US,The Matrix Collection,US,"Adventure,Action,Thriller,Science Fiction",2003
169,Columbia Pictures,90000000,en,58.394,1997-07-02,589400000,98,7.203,13841,US,Men In Black Collection,US,"Action,Adventure,Comedy,Science Fiction",1997
170,Columbia Pictures,140000000,en,40.78,2002-07-03,445100000,88,6.373,9960,US,Men In Black Collection,US,"Action,Comedy,Science Fiction",2002
171,Icon Productions,30000000,en,74.212,2004-02-25,612060372,127,7.5,4628,US,Passion of the Christ Collection,US,Drama,2004
172,Warner Bros. Pictures,140000000,en,45.785,2003-12-05,456800000,154,7.59,6914,NZ,False,US,"Drama,Action,War",2003
173,Columbia Pictures,30000000,en,38.443,1984-06-08,296578797,107,7.5,9023,US,Ghostbusters Collection,US,"Comedy,Fantasy",1984
174,Paramount Pictures,6000000,en,57.977,1978-07-07,396271103,110,7.387,7244,US,Grease Collection,US,"Romance,Comedy",1978
175,Figment Films,4000000,en,31.388,1996-02-23,71981823,94,7.962,9703,GB,Trainspotting Collection,GB,"Drama,Crime",1996
176,Geffen Pictures,60000000,en,46.476,1994-11-11,223664608,123,7.38,5903,US,The Vampire Chronicles Collection,US,"Horror,Drama,Fantasy",1994
177,Bad Hat Harry Productions,6000000,en,56.105,1995-07-19,23300000,106,8.178,10485,US,False,US,"Drama,Crime,Thriller",1995
178,Metro-Goldwyn-Mayer,2777000,en,76.675,1939-08-15,33754967,102,7.6,5643,US,Oz Collection,US,"Adventure,Fantasy,Family",1939
179,Universal Pictures,25000000,en,41.933,2001-04-13,281929795,97,6.745,5071,GB,Bridget Jones Collection,US,"Comedy,Romance,Drama",2001
180,Mario e Vittorio Cecchi Gori - C.E.I.A.D.,20000000,it,60.379,1997-12-20,230098753,116,8.448,13142,IT,False,IT,"Comedy,Drama",1997
181,CiBy 2000,15000000,en,39.359,1997-01-15,3836866,134,7.6,2621,US,False,FR,"Drama,Thriller,Mystery",1997
182,Parkes/MacDonald Productions,52000000,en,71.603,2002-12-16,352114312,141,8.0,15789,US,False,US,"Drama,Crime",2002
183,Warner Bros. Pictures,100000000,en,41.444,2001-06-29,235926552,146,7.041,6171,US,False,US,"Drama,Science Fiction,Adventure",2001
184,EON Productions,1000000,en,42.086,1962-10-07,59000000,110,7.0,3632,GB,James Bond Collection,GB,"Adventure,Action,Thriller",1962
185,Warner Bros. Pictures,175000000,en,82.166,2004-05-13,497400000,163,7.164,10266,US,False,US,"Adventure,History,War",2004
186,Prana-Film,0,de,99.235,1922-02-16,19054,95,7.671,2150,DE,False,DE,"Horror,Drama",1922
187,Road Movies,1750000,en,33.813,1984-07-16,2181987,145,8.1,1897,DE,False,DE,Drama,1984
188,EON Productions,2000000,en,38.272,1963-10-10,78900000,115,7.1,3006,GB,James Bond Collection,GB,"Action,Thriller,Adventure",1963
189,EON Productions,3000000,en,32.576,1964-09-20,124900000,110,7.349,3587,GB,James Bond Collection,GB,"Adventure,Action,Thriller",1964
190,EON Productions,9000000,en,42.406,1965-12-11,141200000,130,6.659,2336,GB,James Bond Collection,GB,"Adventure,Action,Thriller",1965
191,Twisted Pictures,10000000,en,37.974,2007-10-25,139352633,93,6.2,3806,US,Saw Collection,US,"Horror,Thriller,Crime",2007
192,Warner Bros. Pictures,92000000,en,33.539,1996-05-10,494471524,113,6.536,3476,US,Twister Collection,US,"Action,Adventure,Drama",1996
193,Metro-Goldwyn-Mayer,15000000,en,56.443,1959-11-18,164000000,222,7.876,2790,US,False,US,"History,Drama,Adventure,Action",1959
194,EON Productions,9500000,en,33.947,1967-06-13,111600000,117,6.577,2209,GB,James Bond Collection,GB,"Action,Thriller,Adventure",1967
195,Show East,3000000,ko,71.952,2003-11-21,17500000,120,8.255,8792,KR,False,KR,"Drama,Thriller,Mystery,Action",2003
196,Warner Bros. Pictures,125000000,en,226.898,2001-11-16,976475550,152,7.905,27796,GB,Harry Potter Collection,US,"Adventure,Fantasy",2001
197,Warner Bros. Pictures,100000000,en,169.997,2002-11-13,876688482,161,7.713,22220,GB,Harry Potter Collection,US,"Adventure,Fantasy",2002
198,Warner Bros. Pictures,130000000,en,137.254,2004-05-31,789804554,141,8.014,21786,GB,Harry Potter Collection,US,"Adventure,Fantasy",2004
199,Warner Bros. Pictures,150000000,en,144.716,2005-11-16,895921036,157,7.8,20889,GB,Harry Potter Collection,US,"Adventure,Fantasy",2005
200,Warner Bros. Pictures,150000000,en,123.527,2007-07-08,938212738,138,7.676,19630,GB,Harry Potter Collection,US,"Adventure,Fantasy",2007
201,Touchstone Pictures,140000000,en,56.242,2001-05-21,449220945,183,6.941,6537,US,False,US,"War,History,Romance,Drama,Action",2001
202,SLM Production Group,18500000,en,87.194,1986-07-18,183316455,137,8.0,9891,US,Alien Collection,US,"Action,Thriller,Science Fiction",1986
203,Miramax,8000000,en,122.798,1994-09-10,213928762,154,8.488,28217,US,False,US,"Thriller,Crime",1994
204,EON Productions,7000000,en,36.711,1974-12-04,97600000,125,6.446,2054,US,James Bond Collection,GB,"Adventure,Action,Thriller",1974
205,South Side Amusement Company,90000000,en,46.829,1997-07-11,171120329,150,7.427,4514,US,False,US,"Drama,Science Fiction,Mystery",1997
